@relation Tweets

@attribute text string
@attribute labelled_sentiment {positive,neutral,negative}

@data
"new ceo seeks the right balance to please passengers and wall greenfield daily reporter ",neutral
"is really getting on my nerves not happy ",negative
"yes we waited in line for almost an hour to do significant other some passengers just left not wanting to wait past am ",negative
"the we got into the gate at bush intercontinental airport on time and have given our seats and closed the flight if you know people is arriving have to wait ",negative
"its cool that my bags take a bit longer dont give me baggage blue ballsturn the carousel on tell me its coming then not ",negative
"and dont hope for me having a nicer flight some other time try to do things right you sold me those tickets with that connetion ",negative
"i like delays less than you because im the one on the plane connect me with a voucher ",negative
"link to current status of flightsairports fly bwiewrmco this morning yet cant yet tell what any problems are except see snow ",negative
"i tried direct message it would not go thru not sure why ",negative
"you guys there are we on hour of our phone hold at am bc of volume or short staffing ",negative
"wanted to get my bag benefit but instead get pricing on all three tickets when adding a card mp visa is only option ",negative
"please see a flight attendant for what why isnt there enough room for over head bags i carry on to save time ",negative
"still waiting for a reply ",negative
"even though technically after i land i will be silver ",neutral
"hows us looking today ",neutral
"nice work on the update ",positive
"i have items of sentimental value that im heartbroken are missing ",negative
"we have been stuck in luis munoz marin international airport for several hours and no one is answering here really tough to luv sw no response is bad ",negative
"ceo weighs profits flyers registration ",neutral
"how r u supposed to change flights when u cant get thru to reservations onehouronhold ",negative
"thanks her flight leaves at but shes arriving to the airport early wedding is in vt in sept grateful you fly to btv ",positive
"is officially the worst most delayed and least helpful airline i have ever had the misfortune of flying on ",negative
"wont answer their phones horribleservice neveragain frustrated answerthephone ",negative
"reservations had me on hold for hours only to hang upsmh ",negative
"no worries delay was minor and dealt with nicely it was captain of flight by the way ",positive
"clicked on the link and got this confused ",neutral
"is it a temporary site glitch or are you no longer offering flights from gerald r ford international airport to spokane international airport after feb cant find any online ",neutral
"flight was cancelled flightled and it wont let me rebook online wait time on phone is too long please help ",negative
"guys weve got to do something about the inability to check in online for international flight that has ",neutral
"really caring ",neutral
"allows other passengers harass u after their gate agents mistakefurious they are doing nothing about it my yo was scared ",negative
"this is really unhelpful why cant i rebook online ",negative
"sitting on the plane in john f kennedy international airport waiting to take off doors are open catering is stocking up we are delayed but they couldnt be nicer ",negative
"a flight delay due to pilots oversleeping is apparently an uncontrollable irregularity that is not eligible for delay compensation ",negative
"we have no choice but to pay another to go to the airport in the hopes that we will be treated better by a rep ",negative
"new apple crpe amazing live from ua really nice crew too americanair has biscuits ua needs them ",positive
"on hold for hours and then you hung up cancelled flightled flights running out of daycare for our kids who are trapped at home ",negative
"call my work and tell them its your fault im late flight ",negative
"why have you guys jacked up the prices after you said prices were going to be lowered shaking my head ",negative
"i have been on hold with your gold reservations line for over hours now flight cancelled flightled trying to rebook ",negative
"how much does it cost to check in an additional bag traveling from newark to glasgow thank you ",neutral
"thanks do yall expect to be operational tomorrow out of nashville ",positive
"we are on the private message flight fort lauderdale hollywood international airport to philadelphia international airport and then connection to man however with the delays we might miss it can we go earlier ",negative
"last night we waited forever at the gate because someone from corporate dispatch forgot to call the crew unfriendly skies ",negative
"broken entertainment system on my hour nyc flight terrible cabin crew service and online complaint form wont work hopeless ",negative
"husband on hold hrs got disconnectednew wait min cant confirm res due to the fact he booked on line nuts ",negative
" ridiculous to fly outdated s anywhere much less btwn bush intercontinental airport and sfo no power ports no wifi no personal entertainment torture ",negative
"been on hold for minutes about my cancelled flightled flight still not talked to anyone and flight is soon what gives ",negative
"hoping you answer the phone today ",negative
"the last for times ive arrived our gate has been blocked by a slow to depart plane leading to min delays ",negative
"what if business as usual meant dropping the bully mentality and fostering inspiration for a greater business employeerelations ",negative
" kind of early but any idea when dates through the first week of sept will come available ",neutral
"i hear that the new thing in your planes are the flyfi how i can check if the flight that im going to take have it ",neutral
"your service has been awful in boston and i had to pay extra dollars than i was supposed too i am very dissatisfied mad ",negative
"im showing flight delayed again would my boarding pass still be good or was my seat given away ",negative
"cant update my flight online bc its been cancelled flighted twice already going on hour on hold ",negative
"guys for real ive been on hold for hours including one hangup please have someone reach out significant other i can get my back ",negative
"great job today in ruining peoples vacation thanks to your incompetent pilot and staff we have all now missed our flights ",negative
"tried to rebook online but it says that i have to pay for difference in price please help ",negative
"please provide me your direct email for me to explain ",negative
"cancelled flightled my flight out of nashville international airport today been on hold for an hour frustrated ",negative
"beautiful thanks a ton ",positive
"i need updates on my flights i have been on hold for over hours ",negative
"himy flight bna to lga was cancelled flighted this morning looks like other flights out of nashville international airport are taking off any chance ",negative
"can you link the article where it says the routes and what times the routes are likely to be like tuldal private message none ",neutral
"mobile boarding passes now available in ios passbook ",neutral
"almost for hours and coin now understand higher call volume but this is unacceptable ",negative
" its been cancelled flighted your sm response is slow ",negative
"ive had my flight cancelled flightled twice now and after minutes of automated questions the phone just goes to a busy signal help ",negative
"tried online and told i must call bc of modifications to my reservation been on hold for almost hours ",negative
" outstanding customer service thank you ",positive
"finally ",positive
"trying to get through to cust relations is there another to use ",neutral
"where should i fly by may rd plz advise ",neutral
"has the worst customer service of any airline ive ever flown ",negative
"you know what the united club needs power moar power insufficient outlets for the roadwarrior ord ",negative
